Shoplifting001_x264_0,Shoplifting,0
Shoplifting001_x264_1,Shoplifting,0
Shoplifting001_x264_2,Shoplifting,0
Shoplifting001_x264_3,Shoplifting,0
Shoplifting001_x264_4,Shoplifting,0
Shoplifting001_x264_5,Shoplifting,0
Shoplifting001_x264_6,Shoplifting,0
Shoplifting001_x264_7,Shoplifting,0
Shoplifting001_x264_8,Shoplifting,0
Shoplifting001_x264_9,Shoplifting,1
Shoplifting001_x264_10,Shoplifting,1
Shoplifting001_x264_11,Shoplifting,1
Shoplifting001_x264_12,Shoplifting,1
Shoplifting001_x264_13,Shoplifting,1
Shoplifting001_x264_14,Shoplifting,1
Shoplifting001_x264_15,Shoplifting,1
Shoplifting001_x264_16,Shoplifting,0
Shoplifting001_x264_17,Shoplifting,0
Shoplifting001_x264_18,Shoplifting,0
Shoplifting001_x264_19,Shoplifting,0
Shoplifting001_x264_20,Shoplifting,0
Shoplifting001_x264_21,Shoplifting,0
Shoplifting001_x264_22,Shoplifting,0
Shoplifting001_x264_23,Shoplifting,0
Shoplifting001_x264_24,Shoplifting,0
Shoplifting001_x264_25,Shoplifting,0
Shoplifting001_x264_26,Shoplifting,0
Shoplifting001_x264_27,Shoplifting,0
Shoplifting001_x264_28,Shoplifting,0
Shoplifting001_x264_29,Shoplifting,0
Shoplifting001_x264_30,Shoplifting,0
Shoplifting001_x264_31,Shoplifting,0
Shoplifting005_x264_0,Shoplifting,0
Shoplifting005_x264_1,Shoplifting,0
Shoplifting005_x264_2,Shoplifting,0
Shoplifting005_x264_3,Shoplifting,0
Shoplifting005_x264_4,Shoplifting,0
Shoplifting005_x264_5,Shoplifting,0
Shoplifting005_x264_6,Shoplifting,0
Shoplifting005_x264_7,Shoplifting,0
Shoplifting005_x264_8,Shoplifting,0
Shoplifting005_x264_9,Shoplifting,0
Shoplifting005_x264_10,Shoplifting,0
Shoplifting005_x264_11,Shoplifting,0
Shoplifting005_x264_12,Shoplifting,1
Shoplifting005_x264_13,Shoplifting,1
Shoplifting005_x264_14,Shoplifting,1
Shoplifting005_x264_15,Shoplifting,0
Shoplifting005_x264_16,Shoplifting,0
Shoplifting005_x264_17,Shoplifting,0
Shoplifting005_x264_18,Shoplifting,0
